name,gender,ratio,females,males,total
Michael,M,100,19203,3835174,3854377
David,M,100,10321,2830626,2840947
James,M,100,12269,2805634,2817903
John,M,100,10146,2690071,2700217
Robert,M,100,10462,2546476,2556938
William,M,100,7634,2040682,2048316
Christopher,M,100,9223,1969404,1978627
Joseph,M,100,6562,1645771,1652333
Daniel,M,100,7202,1624716,1631918
Matthew,M,100,5414,1520004,1525418
Jennifer,F,100,1451581,4825,1456406
Thomas,M,100,4896,1429111,1434007
Richard,M,100,5440,1425102,1430542
Mary,F,100,1337729,4486,1342215
Mark,M,100,4059,1272083,1276142
Anthony,M,99,6124,1200977,1207101
Steven,M,100,4311,1180200,1184511
Joshua,M,100,4867,1169616,1174483
Kevin,M,100,5162,1139514,1144676
Brian,M,100,4515,1131304,1135819
Andrew,M,100,4116,1114087,1118203
Charles,M,100,5380,1108300,1113680
Jessica,F,100,1036661,3570,1040231
Elizabeth,F,100,1031059,3278,1034337
Jason,M,100,4998,1010311,1015309
Timothy,M,100,4151,1005129,1009280
Lisa,F,100,960409,2788,963197
Jeffrey,M,100,3374,934568,937942
Ryan,M,98,20771,899498,920269
Linda,F,100,880656,2291,882947
Susan,F,100,861919,1927,863846
Patricia,F,100,852447,2704,855151
Sarah,F,100,850064,2428,852492
Eric,M,99,4261,844024,848285
Ashley,F,98,834620,13529,848149
Jacob,M,100,2136,839182,841318
Paul,M,100,3248,836366,839614
Kimberly,F,99,826857,4165,831022
Nicholas,M,100,2924,825931,828855
Jonathan,M,100,3493,800367,803860
Michelle,F,100,798390,3230,801620
Karen,F,100,798321,2238,800559
Kenneth,M,100,3493,794273,797766
Amanda,F,100,760241,2133,762374
Justin,M,100,3775,757958,761733
Scott,M,100,2566,750638,753204
Melissa,F,100,743750,2491,746241
Brandon,M,99,4117,740363,744480
Emily,F,100,732342,1555,733897
Stephanie,F,100,716490,2622,719112
Stephen,M,100,2489,692700,695189
Deborah,F,100,690133,1566,691699
Amy,F,100,658028,1819,659847
Gregory,M,100,2746,653360,656106
Rebecca,F,100,651827,1849,653676
Gary,M,100,2348,634829,637177
Cynthia,F,100,631848,1786,633634
Ronald,M,100,2549,626014,628563
Angela,F,100,626379,1988,628367
Donald,M,100,2550,621798,624348
Laura,F,100,620186,1954,622140
Benjamin,M,100,2089,608558,610647
Tyler,M,97,15845,569367,585212
Barbara,F,100,581823,1498,583321
Nicole,F,100,579299,1956,581255
